source,index,true_label,pred_label,record1,record2
FP,1061,0,1,COL clean_supplier_name VAL MOERAE SOLUTIONS MSI COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K2K COL country VAL CA,COL clean_supplier_name VAL SOLUTIONS MOERAE MSI COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
FP,2358,0,1,COL clean_supplier_name VAL 2415779 ONTARIO DBA MILTEX SOLUTIONS CANADA COL address VAL 35 Wilson Avenue COL city VAL Belleville COL prov VAL Ontario COL postal VAL K8P 1R7 COL country VAL ,COL clean_supplier_name VAL 2415779 ONTARIO COL address VAL Miltex Solutions Canada<br>35 Wilson Ave COL city VAL Belleville COL prov VAL Ontario COL postal VAL K8P1R7 COL country VAL Canada
FP,3633,0,1,COL clean_supplier_name VAL ERGOCENTRIC SEATING SYSTEM COL address VAL  COL city VAL  COL prov VAL  COL postal VAL L5T COL country VAL CA,COL clean_supplier_name VAL ERGOCENTRIC SEATING SYSTEMS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
FP,5903,0,1,COL clean_supplier_name VAL JEANPIERRE AUBRE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL AUBRE JEANPIERRE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
FP,7362,0,1,COL clean_supplier_name VAL KONICA MINOLTA BUSINESS CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL M5W COL country VAL CA,COL clean_supplier_name VAL KONICA MINOLTA BUSINESS SOLUTION CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
FP,7533,0,1,COL clean_supplier_name VAL SPIRIT STAFFING CONSULTING EDMONTON COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SPIRIT STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
FP,7572,0,1,COL clean_supplier_name VAL SPIRIT STAFFING CONSULTING EDMONTON COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SPIRIT STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
FN,9184,1,0,COL clean_supplier_name VAL WESCO 2640 COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL WESCO DISTRIBUTION CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,2302,1,1,COL clean_supplier_name VAL TEKNION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL TEKNION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,5663,1,1,COL clean_supplier_name VAL ALTIS HUMAN RESOURCES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL ALTIS HUMAN RESOURCES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TP,5884,1,1,COL clean_supplier_name VAL ALTIS HUMAN RESOURCES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL ALTIS HUMAN RESOURCES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TP,2998,1,1,COL clean_supplier_name VAL XEROX CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL XEROX CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL M5W COL country VAL CA
TP,1231,1,1,COL clean_supplier_name VAL IRVING OIL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL E2L COL country VAL CA,COL clean_supplier_name VAL IRVING OIL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL E2L COL country VAL CA
TP,8417,1,1,COL clean_supplier_name VAL THERMO FISHER SCIENTIFIC COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL THERMO FISHER SCIENTIFIC MISSISSAUGA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TP,5422,1,1,COL clean_supplier_name VAL IRVING OIL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL E2L COL country VAL CA,COL clean_supplier_name VAL IRVING OIL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL E2L COL country VAL CA
TP,5595,1,1,COL clean_supplier_name VAL VWR INTERNATIONAL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL L5N COL country VAL CA,COL clean_supplier_name VAL VWR INTERNATIONAL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL M5L COL country VAL CA
TP,554,1,1,COL clean_supplier_name VAL XEROX CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL XEROX CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
